File Name,Estimated Clock Period,BRAM_18K,DSP,FF,LUT,URAM,BRAM_18K percentage,DSP percentage,FF percentage,LUT percentage
n_d_d_u_n_n_ar_bs__not__ar,7.04,6,1,2689,1626,0,2.14285714285714,0.454545454545455,2.52725563909774,3.05639097744361
n_u_d_n_n_n_ar__ar__ar,7.04,6,1,2689,1626,0,2.14285714285714,0.454545454545455,2.52725563909774,3.05639097744361
n_d_d_u_n_n_ar_ap__not__ar,7.04,6,1,2689,1626,0,2.14285714285714,0.454545454545455,2.52725563909774,3.05639097744361
n_d_d_p_p_p_ar_bs__ar__ar_ap,7.04,6,4,2904,1626,0,2.14285714285714,1.81818181818182,2.72932330827068,3.05639097744361
d_n_d_u_p_p_ar__ar__ar_ap,7.04,6,4,2904,1626,0,2.14285714285714,1.81818181818182,2.72932330827068,3.05639097744361
n_u_d_n_u_p_not__not__ar_ap,7.04,6,4,2904,1626,0,2.14285714285714,1.81818181818182,2.72932330827068,3.05639097744361
d_n_d_u_p_p_ar_ap__ar__ap,7.04,6,4,2904,1626,0,2.14285714285714,1.81818181818182,2.72932330827068,3.05639097744361
u_d_d_n_n_p_ar__not__ar_ap,7.04,6,4,2904,1626,0,2.14285714285714,1.81818181818182,2.72932330827068,3.05639097744361
d_u_d_p_p_p_ar_bs__ar__ar_ap,7.04,6,4,2904,1626,0,2.14285714285714,1.81818181818182,2.72932330827068,3.05639097744361
n_u_d_p_u_p_ap__not__ar_ap,7.04,6,4,2904,1626,0,2.14285714285714,1.81818181818182,2.72932330827068,3.05639097744361
d_n_d_n_n_p_ap_bs__not__ap,7.04,6,4,2904,1626,0,2.14285714285714,1.81818181818182,2.72932330827068,3.05639097744361
n_u_d_u_p_p_ar_ap_bs__ar__ar_ap,7.04,6,4,2904,1626,0,2.14285714285714,1.81818181818182,2.72932330827068,3.05639097744361
d_u_d_d_p_u_ar_bs__ap__ar_bs,7.04,7,1,2643,1627,0,2.5,0.454545454545455,2.48402255639098,3.05827067669173
u_n_d_p_p_p_ar_ap__ar_ap__not,7.04,6,4,2049,1628,0,2.14285714285714,1.81818181818182,1.92575187969925,3.06015037593985
u_u_d_n_n_p_ar__ap__not,7.04,6,4,2049,1628,0,2.14285714285714,1.81818181818182,1.92575187969925,3.06015037593985
u_d_d_d_p_p_ap__ar_ap__ar,7.04,6,1,2363,1630,0,2.14285714285714,0.454545454545455,2.22086466165414,3.06390977443609
u_n_n_d_d_n_ar_bs__ap__ar_bs,7.04,7,2,3488,1632,0,2.5,0.909090909090909,3.2781954887218,3.06766917293233
